Time,Name,IP,Status,Latency_ms
2025-11-10 11:56:30,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 11:56:32,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 11:56:34,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 11:56:36,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 11:56:45,Shakti_2.4GHz,192.168.1.1,UP,257.0
2025-11-10 11:56:46,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 11:56:48,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 11:56:50,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 11:56:52,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 11:56:54,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 11:56:56,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 11:56:58,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 11:57:00,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 11:57:02,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 11:57:10,Shakti_2.4GHz,192.168.1.1,UP,10.0
2025-11-10 11:57:12,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 11:57:14,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 11:57:16,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 11:57:18,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 11:57:20,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 11:57:22,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 11:57:24,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 11:57:26,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 11:57:28,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 11:57:36,Shakti_2.4GHz,192.168.1.1,UP,1.0
2025-11-10 11:57:38,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 11:57:40,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 11:57:42,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 11:57:44,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 11:57:46,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 11:57:48,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 11:57:50,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 11:57:52,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 11:57:54,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 11:58:02,Shakti_2.4GHz,192.168.1.1,UP,28.0
2025-11-10 11:58:04,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 11:58:06,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 11:58:08,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 11:58:10,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 11:58:12,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 11:58:14,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 11:58:16,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 11:58:18,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 11:58:20,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 11:58:28,Shakti_2.4GHz,192.168.1.1,UP,1.0
2025-11-10 11:58:30,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 11:58:32,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 11:58:34,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 11:58:36,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 11:58:38,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 11:58:40,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 11:58:42,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 11:58:44,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 11:58:46,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 11:58:54,Shakti_2.4GHz,192.168.1.1,UP,2.0
2025-11-10 11:58:56,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 11:58:58,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 11:59:00,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 11:59:02,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 11:59:04,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 11:59:06,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 11:59:08,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 11:59:10,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 11:59:12,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 11:59:20,Shakti_2.4GHz,192.168.1.1,UP,1.0
2025-11-10 11:59:22,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 11:59:24,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 11:59:26,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 11:59:28,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 11:59:30,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 11:59:32,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 11:59:34,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 11:59:36,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 11:59:38,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 11:59:46,Shakti_2.4GHz,192.168.1.1,UP,1.0
2025-11-10 11:59:48,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 11:59:50,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 11:59:52,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 11:59:54,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 11:59:56,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 11:59:59,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 12:00:00,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
